순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
25	송정인	키움	22.50	1	0	0	0	0	-	2	4	0	3	0	0	5	5	3.50
1	박상원	한화	2.25	14	0	0	0	4	-	12	11	0	6	0	16	4	3	1.42
2	임준섭	한화	2.45	5	0	0	0	0	-	3 2/3	5	0	1	1	0	1	1	1.64
3	카펜터	한화	2.50	4	0	1	0	0	0.000	18	19	1	6	1	15	6	5	1.39
4	윤산흠	한화	2.67	37	1	1	0	3	0.500	33 2/3	23	1	30	2	46	12	10	1.57
5	킹험	한화	2.76	3	1	2	0	0	0.333	16 1/3	15	1	5	1	18	6	5	1.22
6	정우람	한화	2.95	23	0	1	1	7	0.000	18 1/3	23	1	6	0	20	8	6	1.58
7	장민재	한화	3.55	32	7	8	0	0	0.467	126 2/3	124	15	39	4	75	54	50	1.29
8	페냐	한화	3.72	13	5	4	0	0	0.556	67 2/3	63	4	30	4	72	33	28	1.37
9	신정락	한화	4.02	44	2	1	1	4	0.667	47	52	4	16	7	23	25	21	1.45
10	윤호솔	한화	4.04	52	3	5	0	7	0.375	42 1/3	43	2	28	0	33	26	19	1.68
11	라미레즈	한화	4.13	13	2	6	0	0	0.250	65 1/3	52	4	37	7	47	33	30	1.36
12	강재민	한화	4.21	56	4	8	7	7	0.333	51 1/3	44	7	29	4	39	26	24	1.42
13	김민우	한화	4.36	29	6	11	0	0	0.353	163	143	16	84	8	129	82	79	1.39
14	김범수	한화	4.36	78	3	7	0	27	0.300	66	64	5	35	3	58	36	32	1.50
15	장시환	한화	4.38	64	0	5	14	9	0.000	63 2/3	57	4	33	1	67	37	31	1.41
16	김종수	한화	4.40	52	3	4	1	6	0.429	45	39	5	21	2	45	30	22	1.33
17	박윤철	한화	4.59	11	0	3	0	0	0.000	33 1/3	41	5	23	2	16	22	17	1.92
18	김규연	한화	5.27	12	0	0	0	1	-	13 2/3	16	2	12	0	11	11	8	2.05
19	김재영	한화	5.40	30	0	2	0	1	0.000	30	33	1	12	7	16	25	18	1.50
20	문동주	한화	5.65	13	1	3	0	2	0.250	28 2/3	28	5	14	1	36	19	18	1.47
21	김기중	한화	6.00	5	0	2	0	0	0.000	12	14	4	11	1	8	10	8	2.08
22	송윤준	한화	6.23	3	0	0	0	0	-	4 1/3	3	0	2	2	3	3	3	1.15
23	이민우	한화	6.25	25	1	1	0	0	0.500	44 2/3	60	3	17	3	23	33	31	1.72
24	한승주	한화	6.32	7	0	0	0	0	-	15 2/3	25	0	4	3	12	11	11	1.85
25	남지민	한화	6.37	22	2	11	0	0	0.154	89	109	9	45	3	41	68	63	1.73
26	주현상	한화	6.83	49	0	1	1	3	0.000	55 1/3	69	5	14	5	33	43	42	1.50
27	윤대경	한화	7.53	25	4	9	0	0	0.308	75 1/3	106	6	17	7	51	63	63	1.63
28	류희운	한화	8.49	15	0	1	0	0	0.000	11 2/3	15	2	7	2	10	11	11	1.89
29	이충호	한화	9.64	5	1	0	0	0	1.000	4 2/3	7	1	5	1	4	5	5	2.57
30	이승관	한화	10.13	7	0	0	0	0	-	5 1/3	8	0	4	1	3	6	6	2.25
1	이승재	KIA	0.00	1	0	0	0	0	-	1	0	0	0	1	1	0	0	0.00
1	장지수	KIA	0.00	1	0	0	0	0	-	2	2	0	1	0	1	0	0	1.50
3	김기훈	KIA	1.04	5	0	0	0	0	-	8 2/3	4	0	7	0	9	1	1	1.27
4	고영창	KIA	1.88	27	0	1	0	0	0.000	24	24	2	10	3	9	5	5	1.42
5	놀린	KIA	2.47	21	8	8	0	0	0.500	124	115	7	24	8	108	41	34	1.12
6	파노니	KIA	2.72	14	3	4	0	0	0.429	82 2/3	78	5	24	2	73	33	25	1.23
7	이준영	KIA	2.91	75	1	1	1	17	0.500	46 1/3	41	3	26	0	42	17	15	1.45
8	장현식	KIA	3.12	54	2	3	1	19	0.400	52	54	4	26	1	40	20	18	1.54
9	전상현	KIA	3.30	50	5	5	2	16	0.500	46 1/3	42	2	16	0	53	20	17	1.25
10	정해영	KIA	3.38	55	3	7	32	0	0.300	56	54	3	18	0	43	21	21	1.29
11	양현종	KIA	3.85	30	12	7	0	0	0.632	175 1/3	170	14	50	3	141	86	75	1.25
12	이의리	KIA	3.86	29	10	10	0	0	0.500	154	128	18	74	9	161	79	66	1.31
13	임기영	KIA	4.24	26	4	13	1	0	0.235	129 1/3	137	18	36	5	82	63	61	1.34
14	김현수	KIA	4.50	1	0	0	0	0	-	2	3	0	1	0	1	1	1	2.00
15	윤중현	KIA	5.03	47	3	1	0	5	0.750	53 2/3	63	4	14	5	27	32	30	1.43
16	한승혁	KIA	5.27	24	4	3	0	0	0.571	80 1/3	100	4	40	6	69	52	47	1.74
17	박준표	KIA	5.40	34	1	0	0	8	1.000	23 1/3	27	4	10	8	11	15	14	1.59
18	김현준	KIA	5.52	12	0	1	0	0	0.000	14 2/3	19	0	5	2	9	14	9	1.64
19	홍상삼	KIA	5.82	24	2	1	0	1	0.667	21 2/3	19	3	15	1	19	16	14	1.57
20	로니	KIA	5.89	10	3	3	0	0	0.500	44 1/3	47	7	28	3	32	36	29	1.69
21	장재혁	KIA	6.00	3	0	0	0	0	-	3	3	0	3	0	4	2	2	2.00
22	김재열	KIA	6.07	47	1	2	1	5	0.333	43	45	5	22	1	36	33	29	1.56
23	김유신	KIA	6.14	10	1	0	0	0	1.000	14 2/3	9	3	16	0	9	11	10	1.70
24	김정빈	KIA	7.00	31	3	0	0	2	1.000	27	23	2	24	4	23	21	21	1.74
25	유승철	KIA	7.58	21	3	0	0	0	1.000	19	21	5	16	0	14	20	16	1.95
26	김도현	KIA	7.59	5	0	1	0	0	0.000	10 2/3	17	2	5	1	11	9	9	2.06
27	남하준	KIA	8.71	11	1	1	0	1	0.500	10 1/3	18	4	6	1	6	11	10	2.32
28	최지민	KIA	13.50	6	0	0	0	0	-	6	12	1	5	1	7	9	9	2.83
29	송후섭	KIA	162.00	1	0	0	0	0	-	1/3	4	0	1	1	0	6	6	15.00
1	김민수	KT	1.90	76	5	4	3	30	0.556	80 2/3	66	3	15	6	91	19	17	1.00
2	김민	KT	2.35	6	0	0	0	2	-	7 2/3	4	1	2	1	8	2	2	0.78
3	이정현	KT	2.45	3	0	0	0	0	-	3 2/3	3	1	4	1	1	1	1	1.91
3	쿠에바스	KT	2.45	2	1	0	0	0	1.000	11	2	1	5	1	8	3	3	0.64
5	벤자민	KT	2.70	17	5	4	0	0	0.556	96 2/3	75	11	24	4	77	34	29	1.02
5	안영명	KT	2.70	4	0	0	0	0	-	3 1/3	3	0	0	0	1	1	1	0.90
5	이상우	KT	2.70	2	0	0	0	0	-	3 1/3	3	0	2	0	1	1	1	1.50
8	이채호	KT	2.95	38	5	0	0	3	1.000	36 2/3	28	0	13	6	32	13	12	1.12
9	엄상백	KT	2.95	33	11	2	0	0	0.846	140 1/3	125	14	46	4	139	52	46	1.22
10	소형준	KT	3.05	27	13	6	0	0	0.684	171 1/3	158	8	39	5	117	68	58	1.15
11	김재윤	KT	3.26	61	9	7	33	0	0.563	66 1/3	46	5	21	0	78	26	24	1.01
12	고영표	KT	3.26	28	13	8	0	0	0.619	182 1/3	191	7	23	16	156	69	66	1.17
13	박영현	KT	3.66	52	0	1	0	2	0.000	51 2/3	46	5	20	0	55	23	21	1.28
14	심재민	KT	3.74	44	4	1	0	6	0.800	43 1/3	41	4	16	2	21	19	18	1.32
15	주권	KT	3.91	58	3	3	1	15	0.500	50 2/3	58	3	8	0	31	22	22	1.30
16	김태오	KT	4.15	5	0	0	0	0	-	4 1/3	9	0	0	0	5	2	2	2.08
17	배제성	KT	4.21	24	3	9	0	0	0.250	107	103	8	46	1	89	56	50	1.39
18	조현우	KT	4.50	19	0	0	0	2	-	12	14	0	4	4	5	8	6	1.50
18	지명성	KT	4.50	2	0	0	0	0	-	2	3	0	0	1	1	1	1	1.50
20	데스파이네	KT	4.53	30	8	12	0	0	0.400	163	198	14	48	9	123	94	82	1.51
21	박시영	KT	4.60	17	0	2	0	5	0.000	15 2/3	19	2	4	0	11	8	8	1.47
22	전유수	KT	8.18	8	0	0	0	0	-	11	17	1	5	0	2	10	10	2.00
23	하준호	KT	8.27	20	0	1	0	0	0.000	16 1/3	16	2	16	1	15	16	15	1.96
24	이창재	KT	33.75	4	0	1	0	0	0.000	1 1/3	5	0	2	1	2	5	5	5.25
1	김주완	LG	0.00	1	0	0	0	0	-	1	1	0	1	0	0	0	0	2.00
1	조원태	LG	0.00	2	0	0	0	0	-	4	1	0	2	1	0	0	0	0.75
1	채지선	LG	0.00	3	0	0	0	1	-	3	1	0	0	1	2	0	0	0.33
4	고우석	LG	1.48	61	4	2	42	0	0.667	60 2/3	37	6	21	1	80	12	10	0.96
5	이우찬	LG	1.81	36	5	0	0	2	1.000	44 2/3	29	2	21	1	42	10	9	1.12
6	김영준	LG	1.86	2	0	0	0	0	-	9 2/3	8	1	4	3	7	2	2	1.24
7	김대유	LG	2.04	59	2	1	0	13	0.667	39 2/3	35	2	15	8	36	11	9	1.26
8	함덕주	LG	2.13	13	0	0	0	0	-	12 2/3	9	0	11	1	13	3	3	1.58
9	최성훈	LG	2.16	45	0	0	0	6	-	33 1/3	23	1	13	3	22	10	8	1.08
10	배재준	LG	2.30	17	0	1	0	0	0.000	31 1/3	22	0	15	4	23	11	8	1.18
11	플럿코	LG	2.39	28	15	5	0	0	0.750	162	125	13	38	2	149	53	43	1.01
12	진해수	LG	2.40	64	4	0	0	12	1.000	45	39	1	11	1	35	13	12	1.11
13	오석주	LG	2.45	4	0	0	0	0	-	3 2/3	4	1	0	0	2	1	1	1.09
14	켈리	LG	2.54	27	16	4	0	0	0.800	166 1/3	144	10	35	2	153	50	47	1.08
15	정우영	LG	2.64	67	2	3	0	35	0.400	58	48	3	32	6	40	18	17	1.38
16	김진성	LG	3.10	67	6	3	0	12	0.667	58	44	6	22	1	54	21	20	1.14
17	김윤식	LG	3.31	23	8	5	0	0	0.615	114 1/3	125	5	27	1	81	46	42	1.33
18	이정용	LG	3.34	65	4	4	1	22	0.500	59 1/3	53	3	18	2	40	26	22	1.20
19	강효종	LG	3.60	1	1	0	0	0	1.000	5	5	0	4	0	4	2	2	1.80
20	송은범	LG	4.05	25	1	1	0	2	0.500	26 2/3	29	3	10	0	13	13	12	1.46
21	최동환	LG	4.14	47	0	1	0	0	0.000	50	45	5	17	1	30	23	23	1.24
22	이지강	LG	4.91	4	0	0	0	0	-	11	12	0	13	0	6	6	6	2.27
23	손주영	LG	4.97	3	0	1	0	0	0.000	12 2/3	10	0	8	3	8	7	7	1.42
24	임찬규	LG	5.04	23	6	11	0	0	0.353	103 2/3	113	10	39	7	75	60	58	1.47
25	송승기	LG	5.40	7	0	1	0	0	0.000	8 1/3	9	1	6	0	10	5	5	1.80
26	이민호	LG	5.51	26	12	8	0	0	0.600	119 1/3	146	14	43	7	73	77	73	1.58
27	임준형	LG	6.00	10	1	3	0	1	0.250	30	36	2	14	3	26	22	20	1.67
28	허준혁	LG	9.64	6	0	0	0	0	-	4 2/3	11	3	2	0	4	6	5	2.79
29	백승현	LG	10.80	12	0	1	0	1	0.000	10	15	2	9	0	3	13	12	2.40
1	이용찬	NC	2.08	59	3	3	22	0	0.500	60 2/3	56	3	13	3	61	16	14	1.14
2	구창모	NC	2.10	19	11	5	0	0	0.688	111 2/3	92	7	29	4	108	32	26	1.08
3	한재승	NC	2.53	12	0	0	0	2	-	10 2/3	13	0	10	1	11	4	3	2.16
4	루친스키	NC	2.97	31	10	12	0	0	0.455	193 2/3	184	14	34	8	194	77	64	1.13
5	원종현	NC	2.98	68	5	0	1	13	1.000	63 1/3	55	5	17	1	50	22	21	1.14
6	김시훈	NC	3.24	59	4	5	0	11	0.444	83 1/3	75	7	43	4	79	35	30	1.42
6	임정호	NC	3.24	33	1	2	0	6	0.333	25	21	1	7	2	30	11	9	1.12
6	전사민	NC	3.24	7	0	0	0	0	-	8 1/3	5	1	6	0	2	4	3	1.32
9	김태경	NC	3.25	16	3	2	0	1	0.600	44 1/3	36	4	21	5	31	16	16	1.29
10	김영규	NC	3.41	72	2	7	1	13	0.222	66	56	5	22	7	46	26	25	1.18
11	파슨스	NC	3.56	8	1	2	0	0	0.333	43	34	4	21	1	43	19	17	1.28
12	김건태	NC	4.42	16	0	0	0	0	-	18 1/3	22	2	12	2	16	15	9	1.85
13	조민석	NC	4.50	18	0	1	0	0	0.000	16	17	2	12	2	14	9	8	1.81
14	송명기	NC	4.51	25	5	7	0	0	0.417	107 2/3	116	14	54	15	106	67	54	1.58
15	더모디	NC	4.54	8	3	5	0	0	0.375	39 2/3	42	3	13	7	37	27	20	1.39
16	신민혁	NC	4.56	26	4	9	0	0	0.308	118 1/3	128	15	31	10	105	64	60	1.34
17	하준영	NC	4.62	47	3	0	0	4	1.000	39	28	3	14	3	44	22	20	1.08
18	이재학	NC	4.75	26	3	8	0	0	0.273	91	75	5	54	8	72	56	48	1.42
19	류진욱	NC	4.86	51	4	2	0	4	0.667	46 1/3	48	2	31	4	37	29	25	1.71
20	박동수	NC	5.52	10	0	0	0	0	-	14 2/3	11	0	21	1	15	10	9	2.18
21	하준수	NC	6.00	2	0	0	0	0	-	3	3	0	3	0	1	2	2	2.00
22	김진호	NC	6.12	36	4	0	1	0	1.000	42 2/3	53	7	20	1	35	30	29	1.71
23	이용준	NC	8.59	10	0	1	0	0	0.000	22	33	4	13	3	19	23	21	2.09
24	강동연	NC	10.38	6	0	0	0	0	-	8 2/3	16	2	3	1	3	10	10	2.19
25	정구범	NC	13.50	2	0	0	0	0	-	1 1/3	1	1	1	0	2	2	2	1.50
26	심창민	NC	14.21	11	1	2	0	0	0.333	6 1/3	9	0	7	3	6	10	10	2.53
27	이우석	NC	21.60	3	0	1	0	0	0.000	1 2/3	1	0	3	2	1	4	4	2.40
1	모리만도	SSG	1.67	12	7	1	0	0	0.875	75 1/3	57	2	23	4	67	19	14	1.06
2	김광현	SSG	2.13	28	13	3	0	0	0.813	173 1/3	141	10	45	5	153	48	41	1.07
3	서동민	SSG	2.57	20	1	1	0	5	0.500	21	13	3	11	1	19	11	6	1.14
4	폰트	SSG	2.69	28	13	6	0	0	0.684	184	141	18	34	6	170	63	55	0.95
5	노경은	SSG	3.05	41	12	5	1	7	0.706	79 2/3	69	5	23	4	55	28	27	1.15
6	이태양	SSG	3.62	30	8	3	0	1	0.727	112	116	15	24	5	61	50	45	1.25
7	고효준	SSG	3.72	45	1	0	0	7	1.000	38 2/3	35	1	20	2	35	18	16	1.42
8	최민준	SSG	3.95	51	5	4	0	5	0.556	68 1/3	51	10	34	2	48	37	30	1.24
9	서진용	SSG	4.01	68	7	3	21	12	0.700	67 1/3	64	5	36	3	55	32	30	1.49
10	박민호	SSG	4.09	22	1	1	1	4	0.500	22	26	3	11	2	12	10	10	1.68
11	장지훈	SSG	4.25	40	2	0	0	6	1.000	55	56	6	11	3	33	26	26	1.22
12	오원석	SSG	4.50	31	6	8	0	0	0.429	144	158	16	58	3	112	79	72	1.50
13	김택형	SSG	4.92	64	3	5	17	10	0.375	60 1/3	57	8	22	3	62	33	33	1.31
14	문승원	SSG	5.11	23	1	1	3	3	0.500	24 2/3	32	3	7	2	25	15	14	1.58
15	박종훈	SSG	6.00	11	3	5	0	0	0.375	48	52	6	21	8	40	34	32	1.52
16	노바	SSG	6.50	12	3	4	0	0	0.429	63 2/3	78	5	25	5	32	50	46	1.62
17	조요한	SSG	6.52	23	2	1	0	5	0.667	19 1/3	17	2	13	4	15	15	14	1.55
18	전영준	SSG	7.20	4	0	0	0	0	-	5	7	2	3	1	7	4	4	2.00
19	김건우	SSG	9.00	2	0	0	0	0	-	3	5	1	4	0	1	3	3	3.00
19	김상수	SSG	9.00	8	0	0	1	0	-	8	9	2	4	1	3	8	8	1.63
19	신헌민	SSG	9.00	1	0	0	0	0	-	1	3	0	0	0	1	2	1	3.00
19	윤태현	SSG	9.00	3	0	0	0	0	-	2	2	0	2	0	2	2	2	2.00
19	이건욱	SSG	9.00	1	0	1	0	0	0.000	3	2	1	4	0	2	3	3	2.00
24	김태훈	SSG	10.13	9	0	0	1	3	-	5 1/3	6	2	10	0	1	6	6	3.00
24	정성곤	SSG	10.13	2	0	0	0	0	-	2 2/3	1	1	3	1	3	3	3	1.50
26	김주온	SSG	11.25	5	0	0	0	0	-	4	3	1	5	0	4	5	5	2.00
27	신재영	SSG	12.46	4	0	0	0	0	-	4 1/3	9	2	0	0	4	6	6	2.08
28	한두솔	SSG	16.88	8	0	0	0	0	-	5 1/3	10	0	4	0	1	10	10	2.63
29	박시후	SSG	18.00	2	0	0	0	0	-	1	3	0	0	0	0	2	2	3.00
