순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
17	진필중	LG	5.82	13	3	7	0	0	0.300	51	58	5	21	7	27	40	33	1.55
18	손기현	LG	6.00	4	0	0	0	0	-	3	2	1	1	2	3	2	2	1.00
19	장준관	LG	6.20	18	0	2	0	3	0.000	20 1/3	25	1	10	2	12	17	14	1.72
20	신윤호	LG	6.25	29	1	4	9	1	0.200	31 2/3	44	3	15	1	15	25	22	1.86
21	김장준	LG	7.00	4	0	0	0	0	-	9	14	1	4	2	6	7	7	2.00
22	김광우	LG	7.20	12	0	0	0	2	-	5	6	3	4	0	5	4	4	2.00
23	신재웅	LG	7.43	26	1	0	0	2	1.000	13 1/3	22	1	10	0	9	11	11	2.40
24	장진용	LG	7.98	12	2	0	0	0	1.000	14 2/3	13	2	13	2	14	13	13	1.77
25	김민기	LG	8.02	28	4	7	0	4	0.364	55	88	11	10	4	37	54	49	1.78
26	소소경	LG	8.31	2	0	0	0	0	-	4 1/3	4	0	4	1	4	4	4	1.85
27	김재현	LG	9.00	8	0	0	0	1	-	2	6	0	2	0	2	4	2	4.00
1	김종민	SK	-	1	0	0	0	0	-	0	2	2	0	0	0	2	2	-
1	송은범	SK	0.00	4	1	0	0	0	1.000	4 2/3	2	0	1	0	3	0	0	0.64
1	이승호	SK	0.00	3	0	0	0	0	-	3 2/3	2	0	2	1	6	0	0	1.09
1	홍성수	SK	0.00	1	0	0	0	0	-	1/3	0	0	0	0	1	0	0	0.00
5	정대현	SK	0.37	20	1	0	3	6	1.000	24 1/3	10	0	6	0	18	1	1	0.66
6	엄정욱	SK	0.61	8	1	0	1	0	1.000	14 2/3	8	0	9	1	18	1	1	1.16
7	차바치	SK	1.00	7	0	0	0	1	-	9	8	0	5	0	5	1	1	1.44
8	카브레라	SK	1.42	4	0	0	3	0	-	6 1/3	4	1	0	0	6	1	1	0.63
9	정우람	SK	1.69	59	3	1	1	13	0.750	42 2/3	28	3	17	1	32	11	8	1.05
10	위재영	SK	1.89	57	3	2	6	12	0.600	95 1/3	69	4	41	3	80	23	20	1.15
11	장찬	SK	2.25	3	0	0	0	0	-	4	4	1	0	0	0	1	1	1.00
12	이영욱	SK	2.51	39	1	0	0	1	1.000	64 2/3	59	5	15	11	41	19	18	1.14
13	조형식	SK	2.55	16	0	0	0	0	-	17 2/3	19	2	8	1	16	6	5	1.53
14	크루즈	SK	3.00	15	7	4	0	0	0.636	81	69	6	29	8	50	33	27	1.21
15	조웅천	SK	3.28	52	5	4	10	6	0.556	60 1/3	53	4	15	5	56	22	22	1.13
16	신승현	SK	3.38	30	12	9	0	0	0.571	154 2/3	146	12	45	12	91	70	58	1.23
17	김원형	SK	3.41	30	14	8	0	0	0.636	171 2/3	172	17	30	15	94	73	65	1.18
18	조영민	SK	3.44	27	2	0	0	2	1.000	36 2/3	25	5	23	5	27	14	14	1.31
19	고효준	SK	3.59	19	4	4	0	0	0.500	57 2/3	28	2	47	16	67	27	23	1.30
20	윤길현	SK	3.69	45	5	2	1	5	0.714	61	51	7	25	5	61	27	25	1.25
21	채병용	SK	4.24	26	8	8	0	1	0.500	121	103	18	54	8	96	63	57	1.30
22	김경태	SK	5.03	42	0	1	2	3	0.000	34	45	3	15	1	24	24	19	1.76
23	산체스	SK	6.17	14	4	4	0	0	0.500	65 2/3	72	11	36	4	51	46	45	1.64
24	제춘모	SK	8.53	2	0	1	0	0	0.000	6 1/3	9	1	1	1	2	6	6	1.58
25	윤희상	SK	18.00	3	0	2	0	0	0.000	5	13	2	4	1	2	11	10	3.40
26	최혁길	SK	21.00	4	0	0	0	0	-	3	7	0	3	0	5	7	7	3.33
27	김선규	SK	36.00	2	0	0	0	0	-	1	5	0	0	0	0	4	4	5.00
